"%Acm. Venda";"Código Empresa";"Empresa : Nível 4";"Venda Quantidade";"Venda Itens";"Unitário Médio";"Venda Valor";"Venda % Partic.";"Promoções Valor Venda";"Promoc. % Partic.";"% Partic. Prom./Vda.";"Lucratividade Unit.";"Lucratividade Valor";"Lucrat. % Partic.";"Lucrat. Marg %";"% Mark Up";"% Mark Down";"Custo Bruto";"Custo Líquido";"Despesa Venda";"Compror";"Comissão";"Impostos Venda";"Valor IBS  Municipal";"Valor IBS  Estadual";"Valor CBS";"Valor IS";"Contribuição Valor";"Contrib. % Partic.";"Contrib. Marg %*";"Peso Bruto";"Peso Brt %Partic.";"Peso Líquido";"Volume M ³";"Valor Venda Por M³";"Despesa Fixa";"Desconto Fixo";"Vlr Descto Fora de NF"
"24,27";"8";"08 - MAGARÇA : MERCEARIA \ BEBIDAS ALCOOLICAS \ DRINKS E APERITIVOS \ COQUETEIS";"343,000";"10";"5,39";"1.848,88";"0,00";"103,27";"0,00";"5,59";"1,27";"436,47";"0,00";"23,61";"67,32";"40,24";"1.104,97";"787,97";"0,00";"0,00";"0,00";"624,43";"0,00";"0,06";"1,08";"0,00";"436,47";"0,00";"35,65";"147,043";"0,00";"94,400";"0,000";"0,000";"0,00";"0,00";"0,00"
"24,27";"8";"08 - MAGARÇA : MERCEARIA \ BEBIDAS ALCOOLICAS \ VINHOS \ ESPUMANTES";"27,000";"14";"39,96";"1.078,93";"0,00";"47,90";"0,00";"4,44";"7,88";"212,72";"0,00";"19,72";"59,95";"37,48";"674,54";"501,90";"0,00";"0,00";"0,00";"364,31";"0,00";"0,06";"0,53";"0,00";"212,72";"0,00";"29,77";"40,522";"0,00";"24,210";"0,000";"0,000";"0,00";"0,00";"0,00"
"24,27";"8";"08 - MAGARÇA : MERCEARIA \ BEBIDAS ALCOOLICAS \ VINHOS \ FRISANTE";"8,000";"2";"27,55";"220,40";"0,00";"0,00";"0,00";"0,00";"8,00";"64,02";"0,00";"29,05";"96,35";"49,07";"112,25";"81,94";"0,00";"0,00";"0,00";"74,44";"0,00";"0,02";"0,16";"0,00";"64,02";"0,00";"43,86";"9,974";"0,00";"4,500";"0,000";"0,000";"0,00";"0,00";"0,00"
"24,27";"8";"08 - MAGARÇA : MERCEARIA \ BEBIDAS ALCOOLICAS \ VINHOS \ SIDRA";"17,000";"2";"13,74";"233,66";"0,00";"193,70";"0,00";"82,90";"2,26";"38,35";"0,00";"16,41";"45,86";"31,44";"160,19";"116,34";"0,00";"0,00";"0,00";"78,97";"0,00";"0,02";"0,15";"0,00";"38,35";"0,00";"24,79";"0,000";"0,00";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"24,27";"8";"08 - MAGARÇA : MERCEARIA \ BEBIDAS ALCOOLICAS \ VINHOS \ VINHO BRANCO";"32,000";"9";"25,25";"807,95";"0,00";"113,60";"0,00";"14,06";"5,87";"187,73";"0,00";"23,24";"72,64";"42,08";"468,00";"347,33";"0,00";"0,00";"0,00";"272,89";"0,00";"0,12";"0,96";"0,00";"187,73";"0,00";"35,09";"33,501";"0,00";"10,500";"0,000";"0,000";"0,00";"0,00";"0,00"
"24,27";"8";"08 - MAGARÇA : MERCEARIA \ BEBIDAS ALCOOLICAS \ VINHOS \ VINHO ROSE";"19,000";"7";"26,85";"510,18";"0,00";"134,60";"0,00";"26,38";"5,94";"112,87";"0,00";"22,12";"75,59";"43,05";"290,56";"224,99";"0,00";"0,00";"0,00";"172,32";"0,00";"0,05";"0,47";"0,00";"112,87";"0,00";"33,41";"12,577";"0,00";"2,250";"0,000";"0,000";"0,00";"0,00";"0,00"
"24,28";"8";"08 - MAGARÇA : MERCEARIA \ BEBIDAS ALCOOLICAS \ VINHOS \ VINHO TINTO";"267,000";"24";"23,76";"6.344,99";"0,01";"647,30";"0,00";"10,20";"5,52";"1.474,48";"0,01";"23,24";"68,46";"40,64";"3.766,51";"2.727,20";"0,00";"0,00";"0,00";"2.143,31";"0,00";"0,98";"8,08";"0,00";"1.474,48";"0,01";"35,09";"278,554";"0,01";"111,250";"0,000";"0,000";"0,00";"0,00";"0,00"
"24,28";"8";"08 - MAGARÇA : MERCEARIA \ BEBIDAS NAO ALCOOLICAS \ AGUAS \ AGUA DE COCO";"156,000";"4";"6,98";"1.089,54";"0,00";"577,99";"0,00";"53,05";"1,84";"287,73";"0,00";"26,41";"53,81";"34,98";"708,37";"701,02";"0,00";"0,00";"0,00";"100,78";"0,00";"0,13";"1,27";"0,00";"287,73";"0,00";"29,10";"98,194";"0,00";"66,600";"0,000";"0,000";"0,00";"0,00";"0,00"
"24,31";"8";"08 - MAGARÇA : MERCEARIA \ BEBIDAS NAO ALCOOLICAS \ AGUAS \ AGUA MINERAL";"7.246,000";"21";"2,72";"19.728,41";"0,03";"0,00";"0,00";"0,00";"0,79";"5.756,00";"0,03";"29,18";"60,04";"37,52";"12.326,81";"9.615,00";"0,00";"0,00";"0,00";"4.357,41";"0,00";"0,62";"17,56";"0,00";"5.756,00";"0,03";"37,45";"10.046,548";"0,22";"6.478,793";"1,133";"17.412,542";"0,00";"0,00";"0,00"
"24,31";"8";"08 - MAGARÇA : MERCEARIA \ BEBIDAS NAO ALCOOLICAS \ AGUAS \ AGUA TONICA";"733,000";"8";"4,28";"3.140,47";"0,00";"248,30";"0,00";"7,91";"1,06";"779,04";"0,00";"24,81";"32,99";"24,81";"2.361,43";"2.361,43";"0,00";"0,00";"0,00";"0,00";"0,00";"0,11";"2,96";"0,00";"779,04";"0,00";"24,81";"289,734";"0,01";"18,900";"0,000";"0,000";"0,00";"0,00";"0,00"
