"%Acm. Venda";"Código Empresa";"Empresa : Nível 4";"Venda Quantidade";"Venda Itens";"Unitário Médio";"Venda Valor";"Venda % Partic.";"Promoções Valor Venda";"Promoc. % Partic.";"% Partic. Prom./Vda.";"Lucratividade Unit.";"Lucratividade Valor";"Lucrat. % Partic.";"Lucrat. Marg %";"% Mark Up";"% Mark Down";"Custo Bruto";"Custo Líquido";"Despesa Venda";"Compror";"Comissão";"Impostos Venda";"Valor IBS  Municipal";"Valor IBS  Estadual";"Valor CBS";"Valor IS";"Contribuição Valor";"Contrib. % Partic.";"Contrib. Marg %*";"Peso Bruto";"Peso Brt %Partic.";"Peso Líquido";"Volume M ³";"Valor Venda Por M³";"Despesa Fixa";"Desconto Fixo";"Vlr Descto Fora de NF"
"47,38";"10";"10 - BARRA : PERECIVEIS \ LEITES \ LEITES \ LEITE A2A2";"261,000";"2";"8,88";"2.316,68";"0,00";"0,00";"0,00";"0,00";"2,13";"555,06";"0,00";"23,96";"44,43";"30,76";"1.604,07";"1.251,16";"0,00";"0,00";"0,00";"510,46";"0,00";"0,00";"0,00";"0,00";"555,06";"0,00";"30,73";"279,003";"0,01";"172,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"47,44";"10";"10 - BARRA : PERECIVEIS \ LEITES \ LEITES \ LEITE UHT DESNAT E SEMI";"7.163,000";"11";"5,96";"42.689,75";"0,06";"6.764,81";"0,01";"15,85";"1,47";"10.523,06";"0,05";"24,65";"46,33";"31,66";"29.174,27";"22.755,94";"0,00";"0,00";"0,00";"9.410,75";"0,00";"0,00";"0,00";"0,00";"10.523,06";"0,05";"31,62";"10.497,482";"0,23";"6.225,510";"2,438";"17.510,152";"0,00";"0,00";"0,00"
"47,44";"10";"10 - BARRA : PERECIVEIS \ LEITES \ LEITES \ LEITE UHT ESPECIAIS";"16,000";"1";"6,29";"100,64";"0,00";"0,00";"0,00";"0,00";"1,70";"27,25";"0,00";"27,08";"53,46";"34,84";"65,58";"51,15";"0,00";"0,00";"0,00";"22,24";"0,00";"0,00";"0,00";"0,00";"27,25";"0,00";"34,76";"17,072";"0,00";"16,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"47,52";"10";"10 - BARRA : PERECIVEIS \ LEITES \ LEITES \ LEITE UHT INTEGRAL";"10.675,000";"8";"5,89";"62.826,64";"0,08";"9.204,63";"0,01";"14,65";"1,47";"15.710,50";"0,08";"25,01";"47,31";"32,11";"42.650,44";"33.267,33";"0,00";"0,00";"0,00";"13.848,81";"0,00";"0,00";"0,00";"0,00";"15.710,50";"0,08";"32,08";"11.261,085";"0,25";"7.661,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"47,56";"10";"10 - BARRA : PERECIVEIS \ LEITES \ LEITES \ LEITE UHT ZERO LACTOSE";"4.306,000";"10";"7,10";"30.585,51";"0,04";"0,00";"0,00";"0,00";"1,60";"6.876,72";"0,03";"22,48";"40,58";"28,86";"21.757,09";"16.970,50";"0,00";"0,00";"0,00";"6.738,29";"0,00";"0,00";"0,00";"0,00";"6.876,72";"0,03";"28,84";"4.487,054";"0,10";"1.442,780";"0,000";"0,000";"0,00";"0,00";"0,00"
"47,57";"10";"10 - BARRA : PERECIVEIS \ PADARIA \ LANCHONETE \ BEBIDAS LANCHONETE";"1.071,000";"16";"5,51";"5.900,00";"0,01";"0,00";"0,00";"0,00";"3,29";"3.524,01";"0,02";"59,73";"188,07";"65,29";"2.048,10";"1.950,37";"0,00";"0,00";"0,00";"425,63";"0,00";"1,11";"10,10";"0,00";"3.524,01";"0,02";"64,37";"0,000";"0,00";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"47,58";"10";"10 - BARRA : PERECIVEIS \ PADARIA \ LANCHONETE \ SALGADINHOS LANCHONETE";"96,664";"2";"58,56";"5.660,57";"0,01";"0,00";"0,00";"0,00";"21,90";"2.116,78";"0,01";"37,40";"53,40";"34,81";"3.690,03";"3.350,48";"0,00";"0,00";"0,00";"193,31";"0,00";"2,06";"25,36";"0,00";"2.116,78";"0,01";"38,72";"0,000";"0,00";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"47,58";"10";"10 - BARRA : PERECIVEIS \ PADARIA \ LANCHONETE \ SALGADOS LANCHONETE";"31,230";"10";"62,15";"1.941,03";"0,00";"0,00";"0,00";"0,00";"23,50";"734,06";"0,00";"37,82";"51,22";"33,87";"1.283,58";"1.026,22";"0,00";"0,00";"0,00";"180,74";"0,00";"1,86";"15,86";"0,00";"734,06";"0,00";"41,70";"0,000";"0,00";"0,020";"0,000";"0,000";"0,00";"0,00";"0,00"
"47,58";"10";"10 - BARRA : PERECIVEIS \ PADARIA \ LANCHONETE \ SANDUICHES LANCHONETE";"63,928";"3";"46,57";"2.977,15";"0,00";"0,00";"0,00";"0,00";"20,20";"1.291,42";"0,01";"43,38";"132,69";"57,02";"1.279,47";"1.161,66";"0,00";"0,00";"0,00";"524,07";"0,00";"1,87";"14,15";"0,00";"1.291,42";"0,01";"52,64";"0,000";"0,00";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"47,59";"10";"10 - BARRA : PERECIVEIS \ PADARIA \ PADARIA FABRICACAO \ BISCOITOS FP";"78,730";"11";"59,49";"4.683,57";"0,01";"0,00";"0,00";"0,00";"16,83";"1.324,90";"0,01";"28,29";"86,41";"46,36";"2.512,45";"2.032,38";"0,00";"0,00";"0,00";"1.326,28";"0,00";"3,26";"28,93";"0,00";"1.324,90";"0,01";"39,46";"0,000";"0,00";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00"
